SITE_ID,n_forest_cells,total_protected_forest_area_mha,mean_FLII,mean_pest_record_probability,obs_occurrence,mean_sampling_effort,mean_carbon_percentile,IUCN_group,governance_group,ISO3,country
30,117,1.19387725543069,8.74904093187837,0.00643082659496816,0,1.17318890646871,0.326060275711288,Not reported,Government,BOL,Bolivia
31,114,1.10502001624831,9.59275423665633,0.00794867726121143,0,2.61126460460834,0.268908151417227,Not reported,Government,BOL,Bolivia
35,62,0.665029117510378,9.43613206998845,0.00637008517120857,0,1.30881748643576,0.175272525364349,Not reported,Government,BOL,Bolivia
42,9,0.0422134685914723,9.16898341451116,0.00305465347488392,0,1.47986048682528,0.546020503291398,Ia,Government,BRA,Brazil
43,6,0.060193680435298,9.60479735620082,0.00464280547397323,0,2.06906304161586,0.179227615410274,Ia,Government,BRA,Brazil
44,9,0.0958192148248713,9.48343946453725,0.00182810025811634,0,0.905387641866938,0.338221435336885,Ia,Government,BRA,Brazil
54,30,0.340389746003343,9.83534436323823,0.002539546186133,0,1.48411032407014,0.233062506357881,II,Government,BRA,Brazil
55,38,0.450538535927061,9.71905507962343,0.0015450235480137,0,0.600866941867901,0.0692974446061625,II,Government,BRA,Brazil
60,19,0.137394474751131,8.32641067812659,0.0607949215456925,0,4.91708605965653,0.569620878336146,II,Government,BRA,Brazil
83,71,0.265443534833038,9.96725517364406,0.00645880087408352,0,0.899579807461367,0.514869571075068,Not reported,Not reported,CHL,Chile
120,15,0.0326395599308456,9.47498111222098,0.028740623391646,0,3.32219296329076,0.508884393854206,Not reported,Not reported,CHL,Chile
130,51,0.543848798646082,8.34302291538057,0.00737594858387457,0,2.2408741328392,0.450637614820574,II,Government,COL,Colombia
131,41,0.428633413640995,8.70370199641818,0.0171323835447289,0,2.33249875551792,0.443068490700092,II,Government,COL,Colombia
132,31,0.226010766543913,8.16672568699195,0.0745539663559631,0,4.35064136961393,0.636120899572643,II,Government,COL,Colombia
133,11,0.0885926256786589,9.51164907328301,0.026695754432814,0,2.45354660315597,0.654057330038151,II,Government,COL,Colombia
134,17,0.178019214018362,8.4783440194763,0.00911308144358124,0,1.89483054702459,0.461891381479047,II,Government,COL,Colombia
135,23,0.245369615760925,9.93084486464052,0.00915344142294176,0,3.36611482214925,0.0641915144221357,II,Government,COL,Colombia
136,5,0.028071251552819,8.98286879290619,0.0295876508585734,0,2.7926987817346,0.647236084834383,II,Government,COL,Colombia
137,5,0.0376002341599485,9.80021597718711,0.0349484122662271,0,5.09078346442888,0.509641426131276,II,Government,COL,Colombia
138,20,0.191523661290081,9.48687556883776,0.0883159488793525,0,5.4176221896498,0.50042183104129,II,Government,COL,Colombia
139,5,0.0250824378652007,9.09744444924073,0.0678330891144545,0,4.0592447089875,0.704775728842045,II,Government,COL,Colombia
141,5,0.0336915173815372,9.37759142551512,0.0676567764478912,0,4.71804409415371,0.517170419295245,II,Government,COL,Colombia
143,6,0.0267415513183971,9.26439724925063,0.116986850829561,0,6.40816766394243,0.699608764455442,II,Government,COL,Colombia
183,17,0.16244068501134,9.42637600637266,0.0279656119837943,0,4.45683106792497,0.395180709387908,II,Government,ECU,Ecuador
