SITE_ID,n_forest_cells,total_protected_forest_area_mha,mean_carbon_percentile,mean_pest_record_probability,obs_occurrence,record_intensity,mean_sampling_effort,lon,lat,IUCN_group,governance_group,ISO3,country
30,121,1.22349509887277,0.327257376779684,0.00635733544856266,0,0,1.14478885370857,-65.9433997875043,-16.1658265229282,Not reported,Government,BOL,Bolivia
31,128,1.20304179351286,0.288399879794316,0.00770526566174407,0,0,2.54339327501195,-60.8672585404763,-14.2809205745583,Not reported,Government,BOL,Bolivia
35,64,0.68394501769949,0.181498457100861,0.00630490821602657,0,0,1.29381637649839,-68.2264096654307,-11.8550327349036,Not reported,Government,BOL,Bolivia
42,10,0.0483953996088711,0.516347605490224,0.00298438274948471,0,0,1.29082608440553,-50.1771398120219,1.50383737105735,Ia,Government,BRA,Brazil
43,6,0.060193680435298,0.179227615410274,0.00464280547397323,0,0,2.06906304161586,-56.5733871341482,-1.27100613944293,Ia,Government,BRA,Brazil
44,11,0.11280476717506,0.385452583595909,0.002812306518544,0,0,1.23418882173734,-61.7456805490183,-9.89484091438159,Ia,Government,BRA,Brazil
54,31,0.346524620335556,0.235376125531034,0.00255248954179518,0,0,1.45783562438359,-66.1101098238993,0.159886632294625,II,Government,BRA,Brazil
55,39,0.45853514751172,0.0745455131015483,0.00163043639087839,0,0,0.638740626451992,-56.8543921028765,-4.42191003824392,II,Government,BRA,Brazil
60,19,0.137394474751131,0.569620878336146,0.0607949215456925,0,0,4.91708605965653,-53.9387288663929,-25.4277724800053,II,Government,BRA,Brazil
83,105,0.347942953697192,0.498486179645917,0.00617924994329991,0,0,0.810821471921593,-74.4051213886545,-46.7263667437619,Not reported,Not reported,CHL,Chile
110,12,0.0254760547834631,0.81361548044613,0.0109902450589369,0,0,1.42476074711822,-72.2112029040937,-45.9779769257723,Not reported,Not reported,CHL,Chile
120,33,0.0661177606864439,0.509474378911914,0.0372535458546463,0,0,3.72619419323105,-72.8454429944733,-51.2705744037571,Not reported,Not reported,CHL,Chile
129,14,0.0379180996647993,0.801134502860606,0.0200419976439255,0,0,3.3689399517663,-68.2078851042003,5.18635135698782,II,Government,COL,Colombia
130,52,0.548884474064906,0.454661529985054,0.00750320944500427,0,0,2.26578214600496,-73.6032203442197,2.63188002884851,II,Government,COL,Colombia
131,41,0.428633413640995,0.443068490700092,0.0171323835447289,0,0,2.33249875551792,-76.1438491793144,7.527363294326,II,Government,COL,Colombia
132,36,0.244961277961871,0.636659295091726,0.0761910855007134,0,0,4.39472211932924,-73.6181807831826,10.8243542922512,II,Government,COL,Colombia
133,12,0.0919845731643554,0.650632078137166,0.0268689229800991,0,0,2.48594726965878,-72.0962787201058,6.50440416088342,II,Government,COL,Colombia
134,18,0.189668524960646,0.47930764526972,0.00870344857659806,0,0,1.82102397741573,-74.5745796214081,2.77887084129837,II,Government,COL,Colombia
135,23,0.245369615760925,0.0641915144221357,0.00915344142294176,0,0,3.36611482214925,-70.147594851221,-3.44934453056893,II,Government,COL,Colombia
136,5,0.028071251552819,0.647236084834383,0.0295876508585734,0,0,2.7926987817346,-75.8716888093372,2.83925003519511,II,Government,COL,Colombia
