SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,carbon_asset,pest_signal,pest_signal_observed_effort,obs_occurrence,record_intensity,lon,lat,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,IUCN_group,carbon_asset_rank,pest_signal_rank,priority_score,priority_rank,priority_flag
30,121,12234.9509887277,0.327257376779684,4003.97796559902,0.00413836703622101,0.00573784168874071,0.00935894138853646,0.0129742476729797,-65.9433997875043,-16.1658265229282,Isiboro Securé,National Park and Indigenous Territory,National,Not Reported,Federal or national ministry or agency,Designated,1965,BOL,13008.4325590244,Other/Not reported,0.974461875228019,0.276541408245166,0.269479059256782,0.643560744253922,FALSE
31,144,13889.4233119252,0.25920495372424,3600.20732682394,0.00218263565929579,0.00470405599793135,0,0,-60.9035140079328,-14.2272524998337,Noel Kempff Mercado,National Park,National,Not Reported,Federal or national ministry or agency,Designated,1979,BOL,16171.9289438503,Other/Not reported,0.971908062750821,0.189711784020431,0.184382412488299,0.490331995622036,FALSE
35,64,6839.4501769949,0.181498457100861,1241.34965454278,0.00307501368300423,0.00402000865033811,0.0370840866530407,0.0257047301071958,-68.2264096654307,-11.8550327349036,Manuripi,National Wildlife Reserve,National,Not Reported,Federal or national ministry or agency,Designated,1973,BOL,7467.73662999586,Other/Not reported,0.895293688434878,0.231302444363371,0.207083618558086,0.53484129879606,FALSE
42,23,1205.32561756049,0.506190343145079,610.124187954498,0.00251143811933257,0.00270231462569707,0,0,-50.2384051836257,1.50530025730041,Reserva Biológica Do Lago Piratuba,Biological Reserve,National,Ia,Sub-national ministry or agency,Designated,1984,BRA,3924.71083610059,Ia,0.780372126960963,0.203575337468077,0.158864519096759,0.439255746078074,FALSE
43,22,2496.27341358843,0.120832829119703,301.63177882019,0.00227203486012529,0.0031730324596921,0,0,-56.708571402068,-1.15534456814585,Reserva Biológica Do Rio Trombetas,Biological Reserve,National,Ia,Sub-national ministry or agency,Designated,1979,BRA,4077.56378081086,Ia,0.597227289310471,0.194454578620941,0.116133580883795,0.347683327252827,FALSE
44,30,3320.8362826883,0.303488905931347,1007.83697021019,0.000567713918465092,0.000675037137898562,0,0,-61.7114389449216,-9.86452103217175,Reserva Biológica Do Jaru,Biological Reserve,National,Ia,Sub-national ministry or agency,Designated,1979,BRA,3468.60892247594,Ia,0.871944545786209,0.0404961692812842,0.0353104139300508,0.134622400583729,FALSE
54,85,9915.53661721134,0.209314077404247,2075.46139899962,0.000615105600252374,0.000701377020161182,0,0,-66.1715822826978,0.190217614114257,Parque Nacional Do Pico Da Neblina,Park,National,II,Sub-national ministry or agency,Designated,1979,BRA,22524.0906096427,II,0.943451295147756,0.0466982852973367,0.0440575577449518,0.16016052535571,FALSE
55,102,12000.3560287721,0.082538876845318,990.495908358786,0.00130685241583335,0.00120397196135935,0.0102980830506607,0.0226272011783613,-56.8382750137323,-4.3916311098583,Parque Nacional Da Amazônia,Park,National,II,Sub-national ministry or agency,Designated,1985,BRA,10663.0459688437,II,0.869755563662897,0.134257570229843,0.116771268671268,0.349507479022255,FALSE
60,18,1330.60589177455,0.560822602852876,746.233859596376,0.0178382691512165,0.0616399047032135,0.0978950512400855,0.197330224342454,-53.9481329873013,-25.4368197429951,Parque Nacional Do Iguaçu,Park,National,II,Sub-national ministry or agency,Designated,1939,BRA,1696.9582508191,II,0.8270704122583,0.502371397300255,0.4154965186719,0.829624224735498,FALSE
83,106,3498.87989111605,0.497877914995161,1742.01502500735,0.00517404979369021,0.00505982055404526,0,0,-74.3992559444801,-46.7309453400605,Laguna San Rafael,National Park,National,Not Reported,Not Reported,Designated,1959,CHL,17096.7466693029,Other/Not reported,0.932141554177308,0.313389273987596,0.292123164917296,0.678584458226925,FALSE
110,12,254.760547834631,0.81361548044613,207.277125525193,0.00674173972734242,0.0067493801708905,0.40932668517774,1.51974734234099,-72.2112029040937,-45.9779769257723,Cerro Castillo,National Park,National,Not Reported,Not Reported,Designated,1970,CHL,1431.03148143218,Other/Not reported,0.469901495804451,0.356804086099964,0.167662773767513,0.45713243341846,FALSE
120,33,661.177606864439,0.509474378911914,336.853050607726,0.00211345080114093,0.00473586730199514,0,0,-72.8454429944733,-51.2705744037571,Torres del Paine,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Reported,Designated,1978,CHL,7710.60884424037,Other/Not reported,0.630062021160161,0.185698650127691,0.117001666826166,0.34987230937614,FALSE
129,14,379.180996647993,0.801134502860606,303.774979243779,0.00168781859471727,0.00513852023373708,0,0,-68.2078851042002,5.18635135698782,El Tuparro,National Natural Park,National,II,Federal or national ministry or agency,Designated,1980,COL,5547.54021497346,II,0.600145932141554,0.161984677125137,0.0972144450459139,0.303174024078803,FALSE
130,52,5549.22950318294,0.447470141680751,2483.11451200827,0.00226799959718342,0.00398809839028145,0,0,-73.6188447766229,2.63414379911619,Sierra de la Macarena,National Natural Park,National,II,Federal or national ministry or agency,Designated,1971,COL,6204.44043075182,II,0.954761036118205,0.194089748267056,0.185309329155376,0.49398029916089,FALSE
131,41,4286.33413640995,0.443068490700092,1899.13959645544,0.0067744120167755,0.0118767240974865,0,0,-76.1438491793144,7.527363294326,Paramillo,National Natural Park,National,II,Federal or national ministry or agency,Designated,1977,COL,5039.65364098451,II,0.939802991608902,0.357168916453849,0.335668416193037,0.736957314848595,FALSE
132,45,3062.16014770575,0.593922486465412,1818.6857688807,0.0104452818583843,0.0415157524410382,0.056121751381826,0.189943836217346,-73.6419352462028,10.850200107926,Sierra Nevada de Santa Marta,National Natural Park,National,II,Federal or national ministry or agency,Designated,1964,COL,5741.59966177165,II,0.935789857716162,0.427946005107625,0.400467531229864,0.812112367748997,FALSE
