country,ISO3,n_pa,protected_forest_area_mha,elevated_visibility_area_mha,area_weighted_pest_prob
BEN;BFA;NER,BEN;BFA;NER,1,0.0367233165485851,0.0242545828598886,0.071494610528957
Slovenia,SVN,4,0.0240261845562801,0.0240261845562801,0.616909950046939
HUN;SVK,HUN;SVK,1,0.0160050544526441,0.0160050544526441,0.480653593468046
Turkey,TUR,2,0.0157796489980493,0.0157796489980493,0.14761246753371
Ireland,IRL,6,0.0154620422116392,0.0154620422116392,0.77893792338965
Switzerland,CHE,6,0.0146092152251734,0.0146092152251734,0.648658082728045
AZE;IRN,AZE;IRN,1,0.0331253380697431,0.0127595489671207,0.0581947546155676
Eswatini,SWZ,1,0.0142219318910835,0.0125034284856526,0.129887370539471
Jamaica,JAM,2,0.0122885667951414,0.0122885667951414,0.337279330499501
Vanuatu,VUT,2,0.0139259195544761,0.00940753517397237,0.167506161792723
Belgium,BEL,4,0.00895695643740463,0.00895695643740463,0.87656995037417
Guinea-Bissau,GNB,8,0.0935861658736408,0.00859770311873851,0.0308577349983265
Haiti,HTI,3,0.00760381656715413,0.00760381656715413,0.167150358545652
Martinique,MTQ,1,0.0104916189734125,0.00749082783907344,0.262791507191851
Burundi,BDI,2,0.0147125991771517,0.00742568075520917,0.072362885987984
Uruguay,URY,3,0.0298292808148837,0.00719555007632337,0.0473012887470978
Togo,TGO,5,0.0631394076713135,0.0070235086826093,0.0293218930921536
ALB;MKD,ALB;MKD,1,0.00681113237844707,0.00681113237844707,0.281067659749123
Mali,MLI,18,0.0607096232714648,0.00677787376593988,0.0287874854814417
South Sudan,SSD,18,1.28639847493116,0.00671261643495391,0.00456585586320798
Netherlands,NLD,2,0.00495622486699281,0.00495622486699281,0.588068329921019
LSO;ZAF,LSO;ZAF,1,0.00445863800652919,0.00445863800652919,0.115387793154716
Mongolia,MNG,11,0.373400817812876,0.0034960323294118,0.00430191408856873
Morocco,MAR,1,0.00235834435171876,0.00235834435171876,0.61680390243933
Burkina Faso,BFA,5,0.0178239003246468,0.00219336364480867,0.0336323618991193
Kyrgyzstan,KGZ,1,0.0037448218639647,0.00194675413414754,0.0912692715271022
Afghanistan,AFG,1,0.00376534426548613,0.00181927959815802,0.0573325145328873
Tunisia,TUN,1,0.00136969412337756,0.00136969412337756,0.358767086503381
Lesotho,LSO,1,0.00122948571950111,0.00122948571950111,0.0802317369014019
