SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,n_high_cells,high_carbon_area,mean_net_effect,obs_occurrence_high,pred_inside_high,pred_outside_high,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,continent,IUCN_group,gap_like,carbon_rank,area_rank,asset_score,gap_rank,priority_score,priority_flag
351795,23,1971.30414549242,0.803591994222444,16,1287.98685821897,0.000571863636141601,0,0.00231792706217861,0.00174606342603701,Reserva Biológica Nascentes Serra Do Cachimbo,Biological Reserve,National,Ia,Sub-national ministry or agency,Designated,2005,BRA,3421.97488504656,Americas,Ia,-0.000571863636141601,0.507751937984496,0.922480620155039,0.715116279069767,0.937984496124031,0.670767982693348,TRUE
351806,6,107.435720744732,0.955031592658426,6,107.435720744732,0.00838297258654164,0,0.0123513932186513,0.00396842063210962,Parque Nacional Da Chapada Das Mesas,Park,National,II,Sub-national ministry or agency,Designated,2006,BRA,1599.52460541846,Americas,II,-0.00838297258654164,0.961240310077519,0.0465116279069768,0.503875968992248,0.593023255813954,0.298810167658194,FALSE
351833,36,3018.66156692472,0.505672387019779,7,445.146705580662,0.00120784349656433,0,0.00177298609254925,0.000565142595984921,Parque Nacional Dos Campos Amazônicos,Park,National,II,Sub-national ministry or agency,Designated,2011,BRA,9613.09970523517,Americas,II,-0.00120784349656433,0.0813953488372093,0.647286821705426,0.364341085271318,0.872093023255814,0.317739318550568,FALSE
351871,17,1399.08908167778,0.768990224981378,9,783.366802675674,0.00411739077022294,0,0.00958289283091713,0.00546550206069419,Área De Proteção Ambiental Caminhos Ecológicos Da Boa Esperança,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,2016,BRA,2319.98729955411,Americas,V,-0.00411739077022294,0.403100775193798,0.833333333333333,0.618217054263566,0.689922480620155,0.426521843639204,FALSE
351878,20,760.511773049884,0.867877070665027,15,584.773314377553,0.00420020482725055,0,0.0087348808525815,0.00453467602533095,Área De Proteção Ambiental Da Chapada Dos Guimarães,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,1995,BRA,2534.36644933765,Americas,V,-0.00420020482725055,0.736434108527132,0.755813953488372,0.746124031007752,0.686046511627907,0.511875788714621,FALSE
351898,5,113.435952985673,0.933595133087334,5,113.435952985673,0.0067463662013709,0,0.0154110829570955,0.00866471675572462,Área De Proteção Ambiental Foz Do Rio Santa Tereza,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,1997,BRA,501.430380331902,Americas,V,-0.0067463662013709,0.906976744186047,0.0542635658914729,0.48062015503876,0.62015503875969,0.29805901087675,FALSE
351900,105,4975.86353049537,0.844661888931971,85,3942.00060833648,0.00235165310432291,0,0.00514230154268022,0.00279064843835731,Área De Proteção Ambiental Ilha Do Bananal/Cantão,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,1997,BRA,15700.1643032264,Americas,V,-0.00235165310432291,0.643410852713178,0.992248062015504,0.817829457364341,0.775193798449612,0.633976323538249,TRUE
351907,34,984.85790416143,0.81616978966293,22,593.468980624463,0.00732733788230741,0,0.0129567129482986,0.00562937506599117,Área De Proteção Ambiental Pouso Alto,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,2001,BRA,8394.94474221561,Americas,V,-0.00732733788230741,0.569767441860465,0.75968992248062,0.664728682170543,0.604651162790698,0.401928970614747,FALSE
352130,76,5735.0357254027,0.807400112220178,47,3822.76236487638,0.00775420380531348,0.0103709704575296,0.0177394029839483,0.00998519917863483,Área De Proteção Ambiental Da Baixada Maranhense,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,1991,BRA,17282.9067606734,Americas,V,-0.00775420380531348,0.531007751937985,0.988372093023256,0.75968992248062,0.60077519379845,0.456402860405024,FALSE
352159,12,1240.10305531408,0.740907159778589,7,683.670598489365,0.0031060375694406,0,0.00629633879557163,0.00319030122613103,Reserva Extrativista Jaci-Paraná,Extractive Reserve,National,VI,Sub-national ministry or agency,Designated,2011,BRA,1970.92727591046,Americas,VI,-0.0031060375694406,0.341085271317829,0.794573643410853,0.567829457364341,0.748062015503876,0.424771648338441,FALSE
