FLII,estimate,lower,upper,se
1.87321004867554,2.2626625377034,2.1526134651677,2.37271161023911,0.0561474859876066
2.01094071404409,2.29224330877486,2.18072135416637,2.40376526338335,0.0568989564329042
2.14867137941263,2.32201131323525,2.21055297651948,2.43346964995103,0.0568664983243761
2.28640204478118,2.35175763914517,2.24180493234706,2.46171034594328,0.056098319794954
2.42413271014973,2.38116272781084,2.27385976213779,2.4884656934839,0.0547464110576806
2.56186337551828,2.40990588383468,2.30604399316724,2.51376777450213,0.0529907605446162
2.69959404088683,2.43766641181912,2.33765095134065,2.53768187229758,0.0510282961624831
2.83732470625538,2.46412361636655,2.36796324214016,2.56028399059294,0.0490614154216277
2.97505537162393,2.48895680207942,2.39628382734109,2.58162977681774,0.0472821299685338
3.11278603699248,2.51184527356013,2.42197856796944,2.60171197915081,0.0458503599952485
3.25051670236103,2.5324683354111,2.44452560890942,2.62041106191277,0.0448687380110578
3.38824736772958,2.55050529223475,2.46355729314302,2.63745329132648,0.0443612240263929
3.52597803309812,2.56563544863349,2.47887618851697,2.65239470875002,0.0442649286308777
3.66370869846667,2.57753810920976,2.4904356606648,2.66464055775472,0.044440024767836
3.80143936383522,2.58589257856596,2.49829247921249,2.67349267791942,0.0446939282415648
3.93917002920377,2.59037816130451,2.50254946003156,2.67820686257746,0.0448105618739525
4.07690069457232,2.59067853612171,2.50330552531508,2.67805154692835,0.0445780667380789
4.21463135994087,2.58683291873551,2.50084728247847,2.67281855499254,0.0438702225801184
4.35236202530942,2.57949307724516,2.49577562322613,2.66321053126419,0.0427129867444046
4.49009269067797,2.56937137537247,2.48863378983696,2.65010896090799,0.0411926456813855
4.62782335604652,2.55718017683926,2.47989483203129,2.63446552164722,0.0394312983714105
4.76555402141506,2.5436318453673,2.46998395349017,2.61727973724443,0.0375754550393527
4.90328468678361,2.52943874467842,2.45930121527921,2.59957627407763,0.0357844537751076
5.04101535215216,2.5153132384944,2.44825216491362,2.58237431207518,0.0342148334595796
5.17874601752071,2.50196769053705,2.43729082125797,2.56664455981614,0.0329984026934128
5.31647668288926,2.49011446452818,2.42697095792195,2.55325797113441,0.0322160747990975
5.45420734825781,2.48046592418958,2.4179893817371,2.54294246664206,0.0318757869655508
5.59193801362636,2.47373443324306,2.41119967571121,2.53626919077491,0.0319054885366587
5.72966867899491,2.47063235541041,2.40758712407864,2.53367758674218,0.032165934352944
5.86739934436346,2.47187205441344,2.40821706449891,2.53552704432797,0.0324770356706773
6.005130009732,2.47816589397395,2.41417878804662,2.54215299990129,0.032646482615988
6.14286067510055,2.49003044350363,2.42631569475577,2.55374519225149,0.0325075248713578
6.2805913404691,2.50678834479369,2.44404286312202,2.56953382646537,0.032013000852893
6.41832200583765,2.52731226000945,2.46617250506084,2.58845201495807,0.0311937525248049
6.5560526712062,2.55047402749183,2.49144885023014,2.60949920475352,0.030114886358006
6.69378333657475,2.57514548558174,2.51857013506708,2.63172083609641,0.028864974752381
6.8315140019433,2.60019847262012,2.54620459471544,2.65419235052481,0.0275478968901463
6.96924466731185,2.62450482694789,2.57300706694307,2.6760025869527,0.0262743673493963
7.1069753326804,2.64693638690596,2.5976409702137,2.69623180359822,0.0251507228021742
7.24470599804895,2.66636499083527,2.61880795004223,2.7139220316283,0.0242637963229781
7.38243666341749,2.68166247707673,2.63528182763101,2.72804312652245,0.0236635966559797
7.52016732878604,2.69170068397127,2.64593615661426,2.73746521132827,0.0233492486515323
7.65789799415459,2.69535144985981,2.64975232328843,2.74095057643119,0.0232648604956011
7.79562865952314,2.69148661308328,2.64580321076443,2.73717001540213,0.0233078583259439
7.93335932489169,2.67897801198259,2.63322050992213,2.72473551404305,0.0233456643165617
8.07108999026024,2.65672166301046,2.61118185970396,2.70226146631695,0.0232345935237233
8.20882065562879,2.62441474143409,2.5795880405364,2.66924144233177,0.0228707657641249
8.34655132099734,2.58272131816181,2.53917263826017,2.62626999806346,0.0222187142355349
8.48428198636588,2.53236315739225,2.49066697630413,2.57405933848037,0.0212735617796544
8.62201265173443,2.47406202332401,2.43475949365914,2.51336455298888,0.0200523110535038
8.75974331710298,2.4085396801557,2.37210030964824,2.44497905066316,0.0185915155650292
8.89747398247153,2.33651789208594,2.30329733620009,2.36973844797178,0.0169492632070647
9.03520464784008,2.25871842331333,2.22890162917613,2.28853521745052,0.0152126500699968
9.17293531320863,2.17586303803648,2.14937795187301,2.20234812419996,0.0135127990629963
9.31066597857718,2.08867350045402,2.06506159834678,2.11228540256126,0.0120468888302238
9.44839664394573,1.99787157476455,1.97613714391233,2.01960600561676,0.0110889953327611
9.58612730931428,1.90417902516667,1.88275485652659,1.92560319380676,0.0109306982857559
9.72385797468283,1.80831761585901,1.78535024084028,1.83128499087775,0.0117180484789473
9.86158864005137,1.71100911104018,1.68484034531695,1.73717787676341,0.0133514110832788
9.99931930541992,1.61297527490878,1.58240994128779,1.64354060852978,0.0155945579698946
