SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,n_high_cells,high_carbon_area,mean_net_effect,obs_occurrence_high,pred_inside_high,pred_outside_high,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,continent,IUCN_group,gap_like,carbon_rank,area_rank,asset_score,gap_rank,priority_score,priority_flag,effect_rank,priority_cut,lon,lat,priority_rank,size_class,designation_group,governance_group
555516098,16,484.308044122084,0.847721567021124,12,383.243522851722,0.0033925256799149,0,0.00525348067710022,0.00186095499718531,Birch Mountains Wildland Provincial Park,Wildland Provincial Park,National,Ib,Sub-national ministry or agency,Designated,2000,CAN,1365.87609848457,Americas,Ib,-0.0033925256799149,0.654867256637168,0.610619469026549,0.632743362831858,0.728682170542636,0.187583209335108,FALSE,0.29646017699115,0.507126634818702,-112.95625,57.525,0.415929203539823,Small,Other designations,Government
555516111,65,1427.18513002217,0.803191391270053,43,951.402076903893,0.00195652922347329,0,0.00302870032183394,0.00107217109836065,Caribou Mountains Wildland Provincial Park,Wildland Provincial Park,National,Ib,Sub-national ministry or agency,Designated,2001,CAN,5923.87119245256,Americas,Ib,-0.00195652922347329,0.482300884955752,0.902654867256637,0.692477876106195,0.821705426356589,0.134818701542799,FALSE,0.194690265486726,0.507126634818702,-114.951538461538,59.1792307692308,0.314159292035398,Large,Other designations,Government
555516430,49,1191.0828448378,0.525981973827012,5,95.9237825021705,0.0036838825443901,0,0.00570852563582047,0.00202464309143037,Sand Lakes Provincial Park,Provincial Park,National,Ib,Sub-national ministry or agency,Designated,1995,CAN,8306.57434058906,Americas,Ib,-0.0036838825443901,0.0884955752212389,0.0309734513274336,0.0597345132743363,0.705426356589147,0.0190304644059832,FALSE,0.31858407079646,0.507126634818702,-98.8030612244898,57.7255102040816,0.0575221238938053,Large,Other designations,Government
555542728,32,2294.58363082286,0.760676377947296,14,935.176460413017,0.0123075809581585,0,0.0283097511377429,0.0160021701795844,Rivière Nosivolo et affluents,Wetland of International Importance (Ramsar Site),International,V,Not Reported,Designated,2010,MDG,3585.06476489856,Africa,V,-0.0123075809581585,0.36283185840708,0.893805309734513,0.628318584070796,0.531007751937985,0.319719633487352,FALSE,0.508849557522124,0.507126634818702,47.95625,-20.125,0.68141592920354,Medium,Other designations,Other governance
555542729,79,3334.3325538878,0.653203778309684,19,726.557224158359,0.00875129855207594,0,0.017415870270923,0.00866457171884704,Lake Niassa and its Coastal Zone,Wetland of International Importance (Ramsar Site),International,VI,Federal or national ministry or agency,Designated,0,MOZ,15842.6169624911,Africa,VI,-0.00875129855207594,0.20353982300885,0.831858407079646,0.517699115044248,0.585271317829457,0.233651812984572,FALSE,0.451327433628319,0.507126634818702,35.0424050632911,-12.4689873417722,0.539823008849558,Large,Other designations,Government
555543426,20,916.98991462314,0.749842776466079,9,320.866629293358,0.0896759646756444,0.0790584665549204,0.18453513801481,0.0948591733391656,Kaanju Ngaachi Wenlock and Pascoe Rivers,Indigenous Protected Area,National,V,Indigenous Peoples,Designated,2008,AUS,1798.89270352906,Oceania,V,-0.0896759646756444,0.331858407079646,0.495575221238938,0.413716814159292,0.22093023255814,0.333170177774297,FALSE,0.805309734513274,0.507126634818702,143.05,-12.855,0.70353982300885,Medium,Other designations,Community/Indigenous
555548136,17,308.169277018572,0.774723635060255,8,127.687820752875,0.0546474175653842,0,0.11386275253009,0.0592153349647056,Holroyd,Nature Refuge,National,VI,Individual landowners,Designated,2016,AUS,2820.58040382763,Oceania,VI,-0.0546474175653842,0.398230088495575,0.079646017699115,0.238938053097345,0.286821705426357,0.176560419766622,FALSE,0.738938053097345,0.507126634818702,142.491176470588,-14.1323529411765,0.402654867256637,Medium,Other designations,Other governance
555555854,42,3409.46907407978,0.807263827327861,30,2228.30690007858,0.015421529905716,0,0.028789764402852,0.013368234497136,Serranía de los Yariguíes,Integrated Management Regional Districts,National,VI,Sub-national ministry or agency,Designated,2005,COL,4189.10490116774,Americas,VI,-0.015421529905716,0.517699115044248,0.973451327433628,0.745575221238938,0.476744186046512,0.418973686271439,FALSE,0.561946902654867,0.507126634818702,-73.5285714285714,6.62619047619047,0.81858407079646,Large,Other designations,Government
555557754,7,264.745444389391,0.844532614716996,6,215.030930496854,0.0144708945040348,0.348211236193198,0.021386002966223,0.00691510846218821,Narrow Hills Provincial Park,Natural Environment Park,National,II,Sub-national ministry or agency,Designated,1934,CAN,586.787319650935,Americas,II,-0.0144708945040348,0.63716814159292,0.269911504424779,0.45353982300885,0.492248062015504,0.246838045265878,FALSE,0.544247787610619,0.507126634818702,-104.65,54.0928571428572,0.561946902654867,Small,Other designations,Government
555557763,20,683.523343211242,0.552176373315668,6,180.962449643819,0.0854220805961794,0,0.131776378167029,0.0463542975708496,Meadow Lake Provincial Park,Natural Environment Park,National,II,Sub-national ministry or agency,Designated,1959,CAN,1688.06961297032,Americas,II,-0.0854220805961794,0.106194690265487,0.190265486725664,0.148230088495575,0.228682170542636,0.1180593625186,FALSE,0.79646017699115,0.507126634818702,-109.09,54.515,0.29646017699115,Small,Other designations,Government
