treat,carbon_decile,n,pest_record_prob,mean_gbif_effort,mean_carbon_percentile,mean_tree_cover,mean_human_footprint,mean_elevation,mean_forest_fragmentation_index,mean_annual_mean_temperature_BIO1,mean_mean_diurnal_temperature_range_BIO2,mean_temperature_seasonality_BIO4,mean_precipitation_seasonality_BIO15
Matched unprotected forest,0–10,7594,0.019357387411114,1.25464351948597,0.0503557025984012,80.7964714193206,199.404660550051,411.7159357167,0.227776412179524,171.02949265545,105.320892410339,4365.46715585238,46.9432318782003
Matched unprotected forest,10–20,6969,0.0309944037882049,1.51200946969575,0.14852506579186,74.6579977186874,290.430214838853,490.347988693559,0.319478751342077,168.910661482879,106.102155561443,4286.9560823784,49.0660795678297
Matched unprotected forest,20–30,6421,0.0417380470331724,1.73163997400944,0.250165712172608,68.921762306173,385.572521895255,512.846831966535,0.401685832952544,167.710826333325,106.611585055941,4253.55979364547,51.2412803247699
Matched unprotected forest,30–40,6275,0.0551394422310757,1.9968379783337,0.35022780623838,64.4628271189534,461.937581038475,527.18860438989,0.477232740407353,171.369749406397,107.742755401733,4050.76899518868,54.3340747305882
Matched unprotected forest,40–50,6077,0.0671383906532829,2.20024860953828,0.449349531472498,58.8251972308339,555.847945110085,564.365688846234,0.563897826274532,166.249544631121,107.541471203554,4273.70269497182,57.5873885109999
Matched unprotected forest,50–60,5610,0.0680926916221034,2.29365337094035,0.549012460501944,53.4247529218541,628.846417333007,576.138062093008,0.631524595814141,157.355222153793,107.739194281131,4754.81184204428,60.3614893649776
Matched unprotected forest,60–70,5228,0.0755547054322877,2.47208782228118,0.649782139910638,51.2868791363489,660.694675382083,605.421453096252,0.659967086034739,155.066341330311,108.406655188271,4752.68043225032,61.9223810209969
Matched unprotected forest,70–80,4914,0.0787545787545788,2.67662807183834,0.748988157621425,49.3459020177184,686.835072479947,600.263282713388,0.689398223040705,157.050554297721,107.982571804868,4595.96192481259,61.532729074923
Matched unprotected forest,80–90,4620,0.11017316017316,2.8499445011825,0.849679293336485,48.8599800303901,708.153725972207,604.421103268217,0.702184486156531,151.553531023371,106.044064148577,4605.75362609599,60.5286927421372
Matched unprotected forest,90–100,4522,0.112118531623176,2.90297786480712,0.94905130943798,47.1060888144043,700.451573190084,546.703101464259,0.709635388708728,147.135293093401,106.526314303075,4397.8835611626,60.5604694994716
Protected forest,0–10,8604,0.0337052533705253,1.57196473562628,0.0463790381408941,79.1228516396674,169.420615766832,457.333997195444,0.234600418219143,182.028923826668,107.60360601834,3969.00548823032,52.3887202516371
Protected forest,10–20,6404,0.0534041224234853,1.9250316977883,0.149751188248293,70.6134918266204,278.919818367175,560.188787971936,0.345402697175758,165.901306786427,108.331501295386,4529.64895958457,53.0160304389843
Protected forest,20–30,6543,0.0615925416475623,2.06762429250165,0.249868836361208,68.7391605212494,335.097359386949,595.073496047026,0.379326188970208,166.007381299887,108.113686628778,4299.96671515431,52.6681915985305
Protected forest,30–40,6733,0.0839150452992722,2.2528964031405,0.350177444526564,67.1857828511077,386.633326854648,580.407309867043,0.433609061279076,166.70065528222,107.851115434251,4177.51642081622,53.3216069698263
Protected forest,40–50,6318,0.0848369737258626,2.4398161403991,0.44919922468455,61.2015147847668,455.036531267904,615.929196660694,0.536741729324549,161.814279564893,108.60238701741,4421.32290798911,57.5914817156011
Protected forest,50–60,5552,0.0961815561959654,2.70894486839925,0.54868990675902,55.4584937981982,525.993908689066,635.141859145562,0.615332152889468,154.412824428781,108.790200437524,4765.2142446364,59.0668683501245
Protected forest,60–70,5227,0.118232255595944,2.92889286148907,0.649215220295068,53.6334846440752,560.979826704485,667.625629435495,0.648245343202784,155.673636662292,109.371736598375,4665.86269256785,59.9695919652457
Protected forest,70–80,4777,0.129579233828763,3.19309113249644,0.750013182873768,50.9640168868175,584.962504125138,721.081313996678,0.670190282056242,149.962530574532,109.033902526626,4631.08374865115,59.4817327863132
Protected forest,80–90,4419,0.161801312514144,3.39236222141283,0.84971968881741,49.1522759163264,606.370997211001,723.537558284543,0.687392899568034,145.015193590277,108.180946397576,4696.27609277101,58.1030635145299
Protected forest,90–100,3653,0.133862578702436,3.08816698047787,0.94606621689569,48.2115781318316,539.801335976168,733.715860680754,0.633688101944224,113.748236851262,108.498505177512,5906.94166555752,55.7513387454493
